,AGE,SEX,POP,RACE,us,agecat,agecat2,agecat3,agecat4,agecat5
1387,13,1,1655371,7,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1388,13,1,373480,8,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1389,13,1,57361,9,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1390,13,1,152471,10,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1391,13,1,14240,11,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1392,14,1,2125640,0,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1393,14,1,1555244,1,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1394,14,1,312277,2,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1395,14,1,33799,3,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1396,14,1,113334,4,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1397,14,1,6270,5,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1398,14,1,104716,6,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1399,14,1,1651026,7,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1400,14,1,366762,8,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1401,14,1,56646,9,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
1402,14,1,152147,10,1,"(-0.1, 18.0]","(-0.1, 75.0]","(-0.1, 65.0]","(-0.1, 55.0]","(-0.1, 35.0]"
